TIPO,SEMANA,QTD
Acervo,2021-01-09,687
Acervo,2021-01-16,656
Acervo,2021-01-23,645
Acervo,2021-01-30,650
Acervo,2021-02-06,657
Acervo,2021-02-13,655
Acervo,2021-02-20,664
Acervo,2021-02-27,675
Acervo,2021-03-06,697
Acervo,2021-03-13,724
Acervo,2021-03-20,724
Acervo,2021-03-27,715
Acervo,2021-04-03,723
Acervo,2021-04-10,705
Acervo,2021-04-17,705
Acervo,2021-04-24,700
Acervo,2021-05-01,712
Acervo,2021-05-08,731
Acervo,2021-05-15,748
Acervo,2021-05-22,772
Acervo,2021-05-29,784
Acervo,2021-06-05,771
Acervo,2021-06-12,812
Acervo,2021-06-19,820
Acervo,2021-06-26,839
Acervo,2021-07-03,845
Acervo,2021-07-10,852
Acervo,2021-07-17,883
Acervo,2021-07-24,896
Acervo,2021-07-31,915
Acervo,2021-08-07,945
Acervo,2021-08-14,965
Acervo,2021-08-21,994
Acervo,2021-08-28,983
Acervo,2021-09-04,997
Acervo,2021-09-11,1005
Acervo,2021-09-18,1021
Acervo,2021-09-25,1050
Acervo,2021-10-02,1103
Acervo,2021-10-09,1089
Acervo,2021-10-16,1104
Acervo,2021-10-23,1130
Acervo,2021-10-30,1145
Acervo,2021-11-06,1159
Acervo,2021-11-13,1147
Acervo,2021-11-20,1170
Acervo,2021-11-27,1178
Acervo,2021-12-04,1191
Acervo,2021-12-11,1204
Acervo,2021-12-18,1225
Acervo,2021-12-25,1230
Acervo,2022-01-01,1229
Acervo,2022-01-08,1197
Acervo,2022-01-15,1197
Acervo,2022-01-22,1207
Acervo,2022-01-29,1210
Acervo,2022-02-05,1198
Acervo,2022-02-12,1202
Acervo,2022-02-19,1227
Acervo,2022-02-26,1231
Acervo,2022-03-05,1224
Acervo,2022-03-12,1235
Acervo,2022-03-19,1238
Acervo,2022-03-26,1219
Acervo,2022-04-02,1217
Acervo,2022-04-09,1233
Acervo,2022-04-16,1235
Acervo,2022-04-23,1243
Acervo,2022-04-30,1245
Acervo,2022-05-07,1264
Acervo,2022-05-14,1275
Acervo,2022-05-21,1270
Acervo,2022-05-28,1296
Acervo,2022-06-04,1312
Acervo,2022-06-11,1323
Acervo,2022-06-18,1321
Acervo,2022-06-25,1321
Acervo,2022-07-02,1324
Acervo,2022-07-09,1329
Acervo,2022-07-16,1336
Acervo,2022-07-23,1352
Acervo,2022-07-30,1359
Acervo,2022-08-06,1352
Acervo,2022-08-13,1335
