TEMA,SEMANA,dom,sab,QTD_ITS
ASSISTÊNCIA SOCIAL,17/01/2021 a 23/01/2021,2021-01-17 00:00:00.0,2021-01-23 00:00:00.0,1
ASSISTÊNCIA SOCIAL,07/02/2021 a 13/02/2021,2021-02-07 00:00:00.0,2021-02-13 00:00:00.0,1
ASSISTÊNCIA SOCIAL,14/02/2021 a 20/02/2021,2021-02-14 00:00:00.0,2021-02-20 00:00:00.0,1
ASSISTÊNCIA SOCIAL,21/02/2021 a 27/02/2021,2021-02-21 00:00:00.0,2021-02-27 00:00:00.0,1
ASSISTÊNCIA SOCIAL,14/03/2021 a 20/03/2021,2021-03-14 00:00:00.0,2021-03-20 00:00:00.0,1
ASSISTÊNCIA SOCIAL,11/04/2021 a 17/04/2021,2021-04-11 00:00:00.0,2021-04-17 00:00:00.0,1
ASSISTÊNCIA SOCIAL,09/05/2021 a 15/05/2021,2021-05-09 00:00:00.0,2021-05-15 00:00:00.0,1
ASSISTÊNCIA SOCIAL,16/05/2021 a 22/05/2021,2021-05-16 00:00:00.0,2021-05-22 00:00:00.0,2
ASSISTÊNCIA SOCIAL,06/06/2021 a 12/06/2021,2021-06-06 00:00:00.0,2021-06-12 00:00:00.0,1
ASSISTÊNCIA SOCIAL,13/06/2021 a 19/06/2021,2021-06-13 00:00:00.0,2021-06-19 00:00:00.0,1
ASSISTÊNCIA SOCIAL,04/07/2021 a 10/07/2021,2021-07-04 00:00:00.0,2021-07-10 00:00:00.0,1
ASSISTÊNCIA SOCIAL,18/07/2021 a 24/07/2021,2021-07-18 00:00:00.0,2021-07-24 00:00:00.0,3
ASSISTÊNCIA SOCIAL,25/07/2021 a 31/07/2021,2021-07-25 00:00:00.0,2021-07-31 00:00:00.0,1
ASSISTÊNCIA SOCIAL,01/08/2021 a 07/08/2021,2021-08-01 00:00:00.0,2021-08-07 00:00:00.0,1
ASSISTÊNCIA SOCIAL,22/08/2021 a 28/08/2021,2021-08-22 00:00:00.0,2021-08-28 00:00:00.0,1
ASSISTÊNCIA SOCIAL,12/09/2021 a 18/09/2021,2021-09-12 00:00:00.0,2021-09-18 00:00:00.0,1
ASSISTÊNCIA SOCIAL,19/09/2021 a 25/09/2021,2021-09-19 00:00:00.0,2021-09-25 00:00:00.0,2
ASSISTÊNCIA SOCIAL,03/10/2021 a 09/10/2021,2021-10-03 00:00:00.0,2021-10-09 00:00:00.0,1
ASSISTÊNCIA SOCIAL,10/10/2021 a 16/10/2021,2021-10-10 00:00:00.0,2021-10-16 00:00:00.0,1
ASSISTÊNCIA SOCIAL,07/11/2021 a 13/11/2021,2021-11-07 00:00:00.0,2021-11-13 00:00:00.0,1
ASSISTÊNCIA SOCIAL,14/11/2021 a 20/11/2021,2021-11-14 00:00:00.0,2021-11-20 00:00:00.0,3
ASSISTÊNCIA SOCIAL,02/01/2022 a 08/01/2022,2022-01-02 00:00:00.0,2022-01-08 00:00:00.0,1
ASSISTÊNCIA SOCIAL,16/01/2022 a 22/01/2022,2022-01-16 00:00:00.0,2022-01-22 00:00:00.0,1
ASSISTÊNCIA SOCIAL,06/02/2022 a 12/02/2022,2022-02-06 00:00:00.0,2022-02-12 00:00:00.0,1
ASSISTÊNCIA SOCIAL,13/02/2022 a 19/02/2022,2022-02-13 00:00:00.0,2022-02-19 00:00:00.0,1
ASSISTÊNCIA SOCIAL,13/03/2022 a 19/03/2022,2022-03-13 00:00:00.0,2022-03-19 00:00:00.0,1
ASSISTÊNCIA SOCIAL,20/03/2022 a 26/03/2022,2022-03-20 00:00:00.0,2022-03-26 00:00:00.0,2
ASSISTÊNCIA SOCIAL,03/04/2022 a 09/04/2022,2022-04-03 00:00:00.0,2022-04-09 00:00:00.0,2
ASSISTÊNCIA SOCIAL,17/04/2022 a 23/04/2022,2022-04-17 00:00:00.0,2022-04-23 00:00:00.0,2
ASSISTÊNCIA SOCIAL,15/05/2022 a 21/05/2022,2022-05-15 00:00:00.0,2022-05-21 00:00:00.0,2
ASSISTÊNCIA SOCIAL,22/05/2022 a 28/05/2022,2022-05-22 00:00:00.0,2022-05-28 00:00:00.0,1
ASSISTÊNCIA SOCIAL,12/06/2022 a 18/06/2022,2022-06-12 00:00:00.0,2022-06-18 00:00:00.0,2
ASSISTÊNCIA SOCIAL,03/07/2022 a 09/07/2022,2022-07-03 00:00:00.0,2022-07-09 00:00:00.0,1
ASSISTÊNCIA SOCIAL,10/07/2022 a 16/07/2022,2022-07-10 00:00:00.0,2022-07-16 00:00:00.0,1
ASSISTÊNCIA SOCIAL,21/08/2022 a 27/08/2022,2022-08-21 00:00:00.0,2022-08-27 00:00:00.0,1
ASSISTÊNCIA SOCIAL,11/09/2022 a 17/09/2022,2022-09-11 00:00:00.0,2022-09-17 00:00:00.0,5
ASSISTÊNCIA SOCIAL,02/10/2022 a 08/10/2022,2022-10-02 00:00:00.0,2022-10-08 00:00:00.0,2
ASSISTÊNCIA SOCIAL,23/10/2022 a 29/10/2022,2022-10-23 00:00:00.0,2022-10-29 00:00:00.0,3
ASSISTÊNCIA SOCIAL,06/11/2022 a 12/11/2022,2022-11-06 00:00:00.0,2022-11-12 00:00:00.0,2
ASSISTÊNCIA SOCIAL,13/11/2022 a 19/11/2022,2022-11-13 00:00:00.0,2022-11-19 00:00:00.0,3
ASSISTÊNCIA SOCIAL,04/12/2022 a 10/12/2022,2022-12-04 00:00:00.0,2022-12-10 00:00:00.0,2
ASSISTÊNCIA SOCIAL,11/12/2022 a 17/12/2022,2022-12-11 00:00:00.0,2022-12-17 00:00:00.0,1
ASSISTÊNCIA SOCIAL,18/12/2022 a 24/12/2022,2022-12-18 00:00:00.0,2022-12-24 00:00:00.0,1
ASSISTÊNCIA SOCIAL,15/01/2023 a 21/01/2023,2023-01-15 00:00:00.0,2023-01-21 00:00:00.0,2
ASSISTÊNCIA SOCIAL,19/02/2023 a 25/02/2023,2023-02-19 00:00:00.0,2023-02-25 00:00:00.0,2
ASSISTÊNCIA SOCIAL,05/03/2023 a 11/03/2023,2023-03-05 00:00:00.0,2023-03-11 00:00:00.0,2
ASSISTÊNCIA SOCIAL,19/03/2023 a 25/03/2023,2023-03-19 00:00:00.0,2023-03-25 00:00:00.0,1
ASSISTÊNCIA SOCIAL,16/04/2023 a 22/04/2023,2023-04-16 00:00:00.0,2023-04-22 00:00:00.0,2
ASSISTÊNCIA SOCIAL,21/05/2023 a 27/05/2023,2023-05-21 00:00:00.0,2023-05-27 00:00:00.0,1
ASSISTÊNCIA SOCIAL,04/06/2023 a 10/06/2023,2023-06-04 00:00:00.0,2023-06-10 00:00:00.0,1
ASSISTÊNCIA SOCIAL,11/06/2023 a 17/06/2023,2023-06-11 00:00:00.0,2023-06-17 00:00:00.0,1
ASSISTÊNCIA SOCIAL,18/06/2023 a 24/06/2023,2023-06-18 00:00:00.0,2023-06-24 00:00:00.0,1
ASSISTÊNCIA SOCIAL,02/07/2023 a 08/07/2023,2023-07-02 00:00:00.0,2023-07-08 00:00:00.0,1
ASSISTÊNCIA SOCIAL,09/07/2023 a 15/07/2023,2023-07-09 00:00:00.0,2023-07-15 00:00:00.0,1
ASSISTÊNCIA SOCIAL,13/08/2023 a 19/08/2023,2023-08-13 00:00:00.0,2023-08-19 00:00:00.0,1
ASSISTÊNCIA SOCIAL,20/08/2023 a 26/08/2023,2023-08-20 00:00:00.0,2023-08-26 00:00:00.0,1
ASSISTÊNCIA SOCIAL,03/09/2023 a 09/09/2023,2023-09-03 00:00:00.0,2023-09-09 00:00:00.0,2
ASSISTÊNCIA SOCIAL,10/09/2023 a 16/09/2023,2023-09-10 00:00:00.0,2023-09-16 00:00:00.0,1
ASSISTÊNCIA SOCIAL,17/09/2023 a 23/09/2023,2023-09-17 00:00:00.0,2023-09-23 00:00:00.0,1
ASSISTÊNCIA SOCIAL,24/09/2023 a 30/09/2023,2023-09-24 00:00:00.0,2023-09-30 00:00:00.0,4
ASSISTÊNCIA SOCIAL,01/10/2023 a 07/10/2023,2023-10-01 00:00:00.0,2023-10-07 00:00:00.0,1
ASSISTÊNCIA SOCIAL,08/10/2023 a 14/10/2023,2023-10-08 00:00:00.0,2023-10-14 00:00:00.0,1
ASSISTÊNCIA SOCIAL,15/10/2023 a 21/10/2023,2023-10-15 00:00:00.0,2023-10-21 00:00:00.0,1
ASSISTÊNCIA SOCIAL,22/10/2023 a 28/10/2023,2023-10-22 00:00:00.0,2023-10-28 00:00:00.0,1
ASSISTÊNCIA SOCIAL,12/11/2023 a 18/11/2023,2023-11-12 00:00:00.0,2023-11-18 00:00:00.0,1
