TEMA,Abr/2023,Atual
ASSISTÊNCIA SOCIAL,429,103
ATENÇÃO PRIMÁRIA,525,158
ATENÇÃO SECUNDÁRIA/TERCIÁRIA,540,120
AVALIAÇÃO DE IMÓVEIS,391,191
BIOLOGIA,191,200
ECONOMIA,192,180
ECONOMICIDADE CONTÁBIL,259,145
ECONOMICIDADE OBRAS,350,218
EDIFICAÇÕES,230,90
ENGENHARIA CIVIL,141,245
ENGENHARIA FLORESTAL,313,146
FARMÁCIA,302,83
GEOLOGIA,280,211
MEDICINA LEGAL,283,257
MOBILIDADE E TRANSPORTE,328,244
ORÇAMENTO,238,425
RECURSOS HÍDRICOS,194,195
SAÚDE MENTAL,381,120
URBANISMO,283,176
VALORAÇÃO DANOS AMBIENTAIS,83,411
